Heroe_1,Heroe_2
Aquaman,Ares
Aquaman,Atom Smasher
Aquaman,Batman
Aquaman,Black Adam
Aquaman,Black Canary
Aquaman,Black Manta
Aquaman,Black Mask
Aquaman,Bloodsport
Aquaman,Captain Boomerang
Aquaman,Cassandra Cain
Aquaman,Cheetah
Aquaman,Cyborg
Aquaman,Cyclone
Aquaman,Dark Flash
Aquaman,Darkseid
Aquaman,Deadshot
Aquaman,Doctor Fate
Aquaman,Doctor Sivana
Aquaman,Doomsday
Aquaman,El Diablo
Aquaman,Enchantress
Aquaman,Envy
Aquaman,Faora
Aquaman,Freddy Freeman
Aquaman,General Zod
Aquaman,Gluttony
Aquaman,Green Lantern
Aquaman,Harley Quinn
Aquaman,Hawkman
Aquaman,Hespera
Aquaman,Huntress
Aquaman,Incubus
Aquaman,Joker
Aquaman,Jor-El
Aquaman,Judomaster
Aquaman,Karathen
Aquaman,Katana
Aquaman,Killer Croc
Aquaman,King Nereus
Aquaman,King Shark
Aquaman,Lex Luthor
Aquaman,Lust
Aquaman,Mera
Aquaman,Mister Zsasz
Aquaman,Nam-Ek
Aquaman,Nuidis Vulko
Aquaman,Ocean Master
Aquaman,Parademon
Aquaman,Peacemaker
Aquaman,Penthesileia
Aquaman,Philippus
Aquaman,Polka-Dot Man
Aquaman,Queen Atlanna
Aquaman,Queen Hippolyta
Aquaman,Ratcatcher
Aquaman,Rick Flag
Aquaman,Sabbac
Aquaman,Savant
Aquaman,Shazam
Aquaman,Slipknot
Aquaman,Sol Soria
Aquaman,Starro
Aquaman,Steppenwolf
Aquaman,Supergirl
Aquaman,Superman
Aquaman,T.D.K.
Aquaman,The Flash
Aquaman,Vigilante
Aquaman,White Dragon
Aquaman,Wonder Woman
Aquaman,Wrath
Aquaman,Zeus
Ares,Atom Smasher
Ares,Batman
Ares,Black Adam
Ares,Black Canary
Ares,Black Manta
Ares,Black Mask
Ares,Bloodsport
Ares,Captain Boomerang
Ares,Cassandra Cain
Ares,Cheetah
Ares,Cyborg
Ares,Cyclone
Ares,Dark Flash
Ares,Darkseid
